"Username","participant_ethnicity","Response.RT","key","Target_Ethnicity","Target_Gender","scored"
"j00867279KS","Black",3551,"OLD","B","M",1
"j00867279KS","Black",5476,"OLD","W","M",1
"j00867279KS","Black",2955,"OLD","W","M",1
"j00867279KS","Black",3093,"OLD","W","M",1
"j00867279KS","Black",2590,"OLD","W","M",0
"j00867279KS","Black",4235,"OLD","B","M",1
"j00867279KS","Black",2676,"OLD","B","F",0
"j00867279KS","Black",2826,"OLD","B","M",1
"j00867279KS","Black",2892,"OLD","W","M",1
"j00867279KS","Black",2645,"OLD","B","M",0
"j00867279KS","Black",8930,"OLD","W","F",0
"j00867279KS","Black",3065,"OLD","W","F",0
"j00867279KS","Black",2619,"NEW","B","M",0
"j00867279KS","Black",4632,"OLD","B","F",1
"j00867279KS","Black",4884,"NEW","W","F",0
"j00867279KS","Black",3008,"NEW","B","M",1
"j00867279KS","Black",4586,"NEW","W","F",0
"j00867279KS","Black",4629,"NEW","W","F",1
"j00867279KS","Black",2742,"OLD","W","F",1
"j00867279KS","Black",4062,"NEW","W","F",0
"j00867279KS","Black",2603,"OLD","W","F",0
"j00867279KS","Black",5941,"NEW","W","M",0
"j00867279KS","Black",2415,"NEW","B","M",0
"j00867279KS","Black",11757,"NEW","B","M",0
"j00867279KS","Black",2870,"NEW","B","M",0
"j00867279KS","Black",10339,"NEW","W","F",0
"j00867279KS","Black",5800,"NEW","B","F",0
"j00867279KS","Black",2900,"NEW","B","F",0
"j00867279KS","Black",2482,"NEW","W","F",0
"j00867279KS","Black",2256,"NEW","W","M",0
"j00867279KS","Black",2837,"NEW","B","F",0
"j00867279KS","Black",2733,"NEW","B","M",0
"j00867279KS","Black",3811,"NEW","B","F",0
"j00867279KS","Black",3938,"NEW","B","F",0
"j00867279KS","Black",2548,"OLD","W","F",0
"j00867279KS","Black",3608,"OLD","B","M",1
"j00867279KS","Black",2779,"OLD","W","F",0
"j00867279KS","Black",2521,"NEW","W","M",0
"j00867279KS","Black",3626,"NEW","B","F",0
"j00867279KS","Black",5846,"NEW","W","M",0
"j00867279KS","Black",2612,"NEW","B","M",0
"j00867279KS","Black",2610,"OLD","B","F",1
"j00867279KS","Black",5227,"NEW","B","M",0
"j00867279KS","Black",3248,"OLD","W","M",1
"j00867279KS","Black",4699,"NEW","B","M",1
"j00867279KS","Black",3355,"NEW","W","F",1
"j00867279KS","Black",4201,"NEW","B","F",0
"j00867279KS","Black",3781,"NEW","W","F",0
"j00867279KS","Black",4079,"NEW","W","M",0
"j00867279KS","Black",6264,"NEW","W","M",0
"j00867279KS","Black",2107,"NEW","W","M",0
"J00892472B.O.","Black",2157,"NEW","W","M",0
"J00892472B.O.","Black",3857,"OLD","B","F",1
"J00892472B.O.","Black",3700,"OLD","W","M",1
"J00892472B.O.","Black",2247,"NEW","W","F",0
"J00892472B.O.","Black",5910,"NEW","B","M",0
"J00892472B.O.","Black",4099,"NEW","B","F",0
"J00892472B.O.","Black",2339,"NEW","B","M",0
"J00892472B.O.","Black",2961,"OLD","W","M",1
"J00892472B.O.","Black",2021,"OLD","W","F",1
"J00892472B.O.","Black",2185,"NEW","W","M",0
"J00892472B.O.","Black",2072,"OLD","B","F",1
"J00892472B.O.","Black",2501,"OLD","B","F",0
"J00892472B.O.","Black",4607,"OLD","W","F",1
"J00892472B.O.","Black",2716,"OLD","B","M",1
"J00892472B.O.","Black",2091,"NEW","W","M",0
"J00892472B.O.","Black",3535,"OLD","W","M",0
"J00892472B.O.","Black",3290,"OLD","W","F",1
"J00892472B.O.","Black",3174,"NEW","B","M",1
"J00892472B.O.","Black",2201,"NEW","W","F",0
"J00892472B.O.","Black",2491,"OLD","B","M",1
"J00892472B.O.","Black",2354,"OLD","W","M",1
"J00892472B.O.","Black",3923,"OLD","W","M",1
"J00892472B.O.","Black",3978,"OLD","W","M",1
"J00892472B.O.","Black",2070,"NEW","B","F",0
"J00892472B.O.","Black",2155,"OLD","W","F",1
"J00892472B.O.","Black",4935,"OLD","W","M",0
"J00892472B.O.","Black",2351,"NEW","W","F",0
"J00892472B.O.","Black",2148,"OLD","B","M",1
"J00892472B.O.","Black",3526,"OLD","W","F",1
"J00892472B.O.","Black",2117,"OLD","W","F",1
"J00892472B.O.","Black",2516,"OLD","W","F",1
"J00892472B.O.","Black",2075,"OLD","W","F",1
"J00892472B.O.","Black",3899,"OLD","B","M",1
"J00892472B.O.","Black",3151,"OLD","W","M",1
"J00892472B.O.","Black",2452,"OLD","B","F",1
"J00892472B.O.","Black",2502,"OLD","B","F",0
"J00892472B.O.","Black",3466,"NEW","B","M",0
"J00892472B.O.","Black",2286,"NEW","W","F",0
"J00892472B.O.","Black",2309,"OLD","W","M",0
"J00892472B.O.","Black",2065,"OLD","B","M",1
"J00892472B.O.","Black",3626,"NEW","B","F",1
"J00892472B.O.","Black",8370,"NEW","W","F",1
"J00892472B.O.","Black",2691,"OLD","B","M",0
"J00892472B.O.","Black",2271,"NEW","W","M",0
"J00892472B.O.","Black",3800,"OLD","B","F",0
"J00892472B.O.","Black",2572,"NEW","W","F",0
"J00892472B.O.","Black",2550,"OLD","B","F",1
"J00892472B.O.","Black",2654,"OLD","B","M",0
"J00892472B.O.","Black",2035,"NEW","B","F",0
"J00892472B.O.","Black",3409,"NEW","B","F",0
"J00892472B.O.","Black",2030,"NEW","B","F",0
"J00892472B.O.","Black",2124,"NEW","B","F",0
"J00892472B.O.","Black",2098,"NEW","B","M",0
"J00892472B.O.","Black",2852,"OLD","B","F",0
"J00892472B.O.","Black",2350,"OLD","W","F",1
"J00892472B.O.","Black",3089,"NEW","W","M",0
"J00892472B.O.","Black",2473,"NEW","B","M",0
"J00892472B.O.","Black",2926,"NEW","B","M",0
"J00892472B.O.","Black",1998,"NEW","W","F",1
"J00892472B.O.","Black",1996,"NEW","W","M",0
"J00892472B.O.","Black",2356,"NEW","B","F",1
"J00892472B.O.","Black",4254,"OLD","B","M",0
"J00892472B.O.","Black",2441,"NEW","B","M",0
"J00892472B.O.","Black",3485,"NEW","B","F",0
"J00892472B.O.","Black",3059,"NEW","B","F",0
"J00892472B.O.","Black",2147,"NEW","W","F",0
"J00892472B.O.","Black",4266,"NEW","W","M",0
"J00892472B.O.","Black",6847,"OLD","W","M",1
"J00892472B.O.","Black",2012,"NEW","B","M",0
"J00892472B.O.","Black",2954,"NEW","W","M",0
"J00892472B.O.","Black",2332,"NEW","W","M",0
"J00892472B.O.","Black",2127,"NEW","W","F",1
"J00892472B.O.","Black",1856,"NEW","W","F",0
"J00892472B.O.","Black",1946,"OLD","B","F",0
"J00892472B.O.","Black",2096,"OLD","W","F",1
"J00892472B.O.","Black",2277,"OLD","B","M",1
"J00892472B.O.","Black",2067,"OLD","B","M",1
"J00892472B.O.","Black",2196,"NEW","B","M",0
"J00892472B.O.","Black",3551,"OLD","B","F",0
"J00892472B.O.","Black",1995,"NEW","W","M",0
"j00896894","Black",1886,"OLD","W","M",0
"j00896894","Black",2245,"OLD","B","F",1
"j00896894","Black",2155,"OLD","W","F",1
"j00896894","Black",3196,"OLD","B","F",1
"j00896894","Black",1926,"OLD","W","M",1
"j00896894","Black",2264,"OLD","W","F",1
"j00896894","Black",2781,"OLD","W","F",1
"j00896894","Black",1984,"OLD","W","M",1
"j00896894","Black",2260,"OLD","B","M",1
"j00896894","Black",2096,"OLD","B","F",1
"j00896894","Black",2094,"OLD","B","M",1
"j00896894","Black",4382,"OLD","B","F",1
"j00896894","Black",2211,"OLD","B","F",1
"j00896894","Black",2619,"OLD","W","M",1
"j00896894","Black",2135,"OLD","B","F",1
"j00896894","Black",2085,"OLD","B","M",1
"j00896894","Black",4919,"OLD","B","F",1
"j00896894","Black",1963,"OLD","W","F",1
"j00896894","Black",1907,"OLD","W","F",0
"j00896894","Black",2007,"OLD","W","F",0
"j00896894","Black",2253,"OLD","B","M",1
"j00896894","Black",6673,"OLD","W","F",1
"j00896894","Black",4184,"OLD","W","F",1
"j00896894","Black",2691,"OLD","B","M",0
"j00896894","Black",2200,"OLD","B","M",1
"j00896894","Black",4489,"OLD","W","M",0
"j00896894","Black",3200,"OLD","B","M",0
"j00896894","Black",2354,"OLD","W","M",1
"j00896894","Black",3200,"OLD","B","F",1
"j00896894","Black",2151,"OLD","B","F",0
"j00896894","Black",2507,"OLD","B","M",1
"j00896894","Black",2079,"NEW","W","F",0
"j00896894","Black",2132,"NEW","W","M",0
"j00896894","Black",3312,"OLD","W","M",1
"j00896894","Black",2197,"OLD","B","M",1
"j00896894","Black",2083,"OLD","W","F",0
"j00896894","Black",2558,"OLD","B","F",1
"j00896894","Black",2894,"OLD","B","M",1
"j00896894","Black",2410,"OLD","W","M",1
"j00896894","Black",2392,"NEW","W","M",0
"j00896894","Black",4057,"OLD","W","M",1
"j00896894","Black",2603,"NEW","B","M",0
"j00896894","Black",7609,"NEW","B","F",0
"j00896894","Black",2267,"NEW","B","M",0
"j00896894","Black",2287,"NEW","B","F",0
"j00896894","Black",2099,"NEW","B","M",0
"j00896894","Black",1975,"NEW","W","M",0
"j00896894","Black",2610,"NEW","B","M",0
"j00896894","Black",2557,"NEW","B","M",0
"j00896894","Black",2434,"NEW","W","F",0
"j00896894","Black",2091,"NEW","W","M",0
"j00896894","Black",3458,"NEW","B","F",0
"j00896894","Black",2605,"NEW","W","M",0
"j00896894","Black",2721,"NEW","W","M",0
"j00896894","Black",2272,"NEW","B","F",0
"j00896894","Black",2319,"NEW","B","F",0
"j00896894","Black",2303,"NEW","B","F",0
"j00896894","Black",2059,"NEW","W","F",0
"j00896894","Black",2421,"NEW","W","F",0
"j00896894","Black",2671,"OLD","W","M",1
"j00896894","Black",2421,"OLD","W","F",1
"j00896894","Black",2473,"NEW","B","F",0
"j00896894","Black",2233,"NEW","B","M",0
"j00896894","Black",2291,"NEW","B","F",0
"j00896894","Black",3446,"NEW","W","F",0
"j00896894","Black",2139,"NEW","W","F",0
"j00896894","Black",2021,"NEW","W","M",0
"j00896894","Black",3281,"NEW","W","F",0
"j00896894","Black",2112,"NEW","B","M",0
"j00896894","Black",3209,"NEW","W","F",0
"j00896894","Black",2334,"NEW","W","F",0
"j00896894","Black",2141,"NEW","B","F",0
"j00896894","Black",2940,"NEW","B","M",0
"j00896894","Black",2055,"NEW","B","M",0
"j00896894","Black",2457,"NEW","W","M",0
"j00896894","Black",2159,"NEW","B","F",0
"j00896894","Black",3161,"NEW","B","M",0
"j00896894","Black",2316,"NEW","W","M",0
"j00896894","Black",1985,"NEW","W","F",0
"j00896894","Black",1929,"NEW","W","M",0
"j00900405J.B","Black",2627,"NEW","B","M",1
"j00900405J.B","Black",2281,"OLD","B","F",1
"j00900405J.B","Black",2698,"NEW","B","F",0
"j00900405J.B","Black",2571,"OLD","W","M",0
"j00900405J.B","Black",2185,"OLD","W","M",1
"j00900405J.B","Black",2340,"OLD","B","M",0
"j00900405J.B","Black",7618,"NEW","B","M",1
"j00900405J.B","Black",3156,"OLD","B","F",1
"j00900405J.B","Black",2098,"OLD","W","F",1
"j00900405J.B","Black",2118,"OLD","W","M",1
"j00900405J.B","Black",2751,"NEW","B","F",0
"j00900405J.B","Black",10199,"NEW","B","F",0
"j00900405J.B","Black",2472,"OLD","B","M",1
"j00900405J.B","Black",2167,"OLD","B","F",1
"j00900405J.B","Black",2190,"NEW","W","F",0
"j00900405J.B","Black",3695,"NEW","B","F",0
"j00900405J.B","Black",26615,"OLD","B","F",1
"j00900405J.B","Black",3818,"OLD","W","M",1
"j00900405J.B","Black",2056,"OLD","W","F",1
"j00900405J.B","Black",2031,"OLD","B","M",1
"j00900405J.B","Black",2749,"OLD","B","F",1
"j00900405J.B","Black",3059,"NEW","W","F",1
"j00900405J.B","Black",17625,"NEW","B","M",0
"j00900405J.B","Black",2066,"OLD","W","F",1
"j00900405J.B","Black",2440,"OLD","W","M",1
"j00900405J.B","Black",7816,"OLD","W","F",1
"j00900405J.B","Black",7423,"OLD","W","F",1
"j00900405J.B","Black",18406,"OLD","W","F",1
"j00900405J.B","Black",2035,"OLD","B","F",1
"j00900405J.B","Black",1955,"OLD","W","M",1
"j00900405J.B","Black",2290,"OLD","B","M",1
"j00900405J.B","Black",5388,"OLD","W","M",1
"j00900405J.B","Black",2583,"OLD","B","M",1
"j00900405J.B","Black",30376,"OLD","W","F",1
"j00900405J.B","Black",1999,"OLD","B","M",1
"j00900405J.B","Black",15597,"NEW","B","F",1
"j00900405J.B","Black",16944,"NEW","W","M",0
"j00900405J.B","Black",2088,"OLD","B","M",1
"j00900405J.B","Black",1936,"OLD","W","F",1
"j00900405J.B","Black",2091,"NEW","W","F",0
"j00900405J.B","Black",8385,"NEW","B","M",0
"j00900405J.B","Black",2321,"NEW","W","F",0
"j00900405J.B","Black",7293,"NEW","W","M",1
"j00900405J.B","Black",2353,"OLD","W","M",1
"j00900405J.B","Black",3082,"OLD","B","M",1
"j00900405J.B","Black",2024,"OLD","B","F",1
"j00900405J.B","Black",2069,"OLD","W","F",1
"j00900405J.B","Black",3553,"NEW","W","F",0
"j00900405J.B","Black",2055,"OLD","B","F",1
"j00900405J.B","Black",2164,"NEW","B","F",0
"j00900405J.B","Black",6691,"NEW","B","F",1
"j00900405J.B","Black",2279,"NEW","W","M",1
"j00900405J.B","Black",3525,"NEW","B","M",0
"j00900405J.B","Black",1785,"NEW","W","F",1
"j00900405J.B","Black",4378,"NEW","B","F",0
"j00900405J.B","Black",3027,"NEW","B","M",0
"j00900405J.B","Black",17759,"NEW","W","F",0
"j00900405J.B","Black",2147,"NEW","W","M",1
"j00900405J.B","Black",3395,"NEW","W","F",0
"j00900405J.B","Black",2695,"OLD","B","M",1
"j00900405J.B","Black",2565,"NEW","B","F",0
"j00900405J.B","Black",2875,"NEW","W","M",0
"j00900405J.B","Black",4720,"NEW","B","M",0
"j00900405J.B","Black",3691,"NEW","B","M",0
"j00900405J.B","Black",7395,"NEW","W","M",0
"j00900405J.B","Black",3677,"NEW","W","F",0
"j00900405J.B","Black",2222,"NEW","W","M",0
"j00900405J.B","Black",2157,"NEW","W","M",0
"j00900405J.B","Black",5026,"NEW","B","M",0
"j00900405J.B","Black",2751,"OLD","B","M",1
"j00900405J.B","Black",2378,"OLD","W","F",1
"j00900405J.B","Black",2978,"NEW","W","M",0
"j00900405J.B","Black",16803,"OLD","W","M",1
"j00900405J.B","Black",7619,"NEW","B","M",0
"j00900405J.B","Black",2448,"OLD","B","F",1
"j00900405J.B","Black",2218,"NEW","W","M",0
"j00900405J.B","Black",2924,"OLD","W","M",0
"j00900405J.B","Black",12725,"OLD","B","F",1
"j00900405J.B","Black",2364,"NEW","W","F",0
"j00900405J.B","Black",2463,"NEW","B","F",1
"J0090373JB","Black",2392,"OLD","W","M",1
"J0090373JB","Black",2115,"OLD","W","M",1
"J0090373JB","Black",2199,"OLD","B","F",1
"J0090373JB","Black",2307,"OLD","W","M",1
"J0090373JB","Black",3082,"OLD","W","M",1
"J0090373JB","Black",2214,"OLD","W","M",1
"J0090373JB","Black",2697,"OLD","W","M",1
"J0090373JB","Black",2643,"OLD","W","F",0
"J0090373JB","Black",2668,"OLD","B","F",1
"J0090373JB","Black",7185,"NEW","B","M",0
"J0090373JB","Black",2400,"OLD","W","F",1
"J0090373JB","Black",2554,"OLD","B","F",1
"J0090373JB","Black",2812,"OLD","W","F",0
"J0090373JB","Black",2352,"OLD","B","F",0
"J0090373JB","Black",4154,"OLD","B","F",1
"J0090373JB","Black",2354,"OLD","W","F",1
"J0090373JB","Black",2381,"NEW","B","F",0
"J0090373JB","Black",2525,"NEW","B","M",0
"J0090373JB","Black",2873,"OLD","B","M",1
"J0090373JB","Black",2823,"NEW","W","M",0
"J0090373JB","Black",3584,"OLD","B","M",1
"J0090373JB","Black",2397,"OLD","B","M",1
"J0090373JB","Black",2495,"OLD","B","M",1
"J0090373JB","Black",5092,"NEW","W","F",0
"J0090373JB","Black",2916,"NEW","W","M",1
"J0090373JB","Black",2402,"NEW","W","M",1
"J0090373JB","Black",2392,"OLD","W","F",1
"J0090373JB","Black",2443,"OLD","B","F",1
"J0090373JB","Black",2321,"OLD","B","F",1
"J0090373JB","Black",2832,"OLD","W","F",0
"J0090373JB","Black",2226,"OLD","W","M",1
"J0090373JB","Black",2188,"OLD","B","M",1
"J0090373JB","Black",2774,"NEW","B","F",0
"J0090373JB","Black",2179,"OLD","B","F",1
"J0090373JB","Black",2292,"OLD","B","M",1
"J0090373JB","Black",2498,"NEW","W","F",0
"J0090373JB","Black",2982,"OLD","B","F",1
"J0090373JB","Black",2563,"OLD","B","M",1
"J0090373JB","Black",2473,"OLD","W","F",1
"J0090373JB","Black",2293,"OLD","W","M",1
"J0090373JB","Black",3763,"NEW","W","F",1
"J0090373JB","Black",3034,"NEW","B","M",0
"J0090373JB","Black",4268,"NEW","B","F",0
"J0090373JB","Black",2298,"OLD","B","M",0
"J0090373JB","Black",2360,"NEW","W","F",0
"J0090373JB","Black",2015,"NEW","B","F",0
"J0090373JB","Black",3052,"NEW","W","M",0
"J0090373JB","Black",2552,"NEW","W","M",0
"J0090373JB","Black",2523,"NEW","B","M",0
"J0090373JB","Black",2515,"NEW","B","M",0
"J0090373JB","Black",4064,"NEW","W","M",0
"J0090373JB","Black",2381,"NEW","W","M",0
"J0090373JB","Black",3355,"OLD","W","M",0
"J0090373JB","Black",2397,"OLD","B","F",1
"J0090373JB","Black",2283,"OLD","W","F",1
"J0090373JB","Black",2478,"NEW","B","M",0
"J0090373JB","Black",2299,"NEW","B","M",0
"J0090373JB","Black",2320,"NEW","W","M",0
"J0090373JB","Black",2689,"NEW","W","F",0
"J0090373JB","Black",2828,"NEW","W","F",0
"J0090373JB","Black",2528,"OLD","W","F",1
"J0090373JB","Black",2213,"NEW","B","F",1
"J0090373JB","Black",2597,"NEW","B","M",0
"J0090373JB","Black",2498,"OLD","W","F",1
"J0090373JB","Black",2364,"OLD","B","M",0
"J0090373JB","Black",3223,"OLD","W","M",0
"J0090373JB","Black",3891,"NEW","B","F",0
"J0090373JB","Black",2216,"NEW","B","F",0
"J0090373JB","Black",2720,"NEW","B","M",0
"J0090373JB","Black",2834,"NEW","W","F",0
"J0090373JB","Black",2205,"NEW","B","F",0
"J0090373JB","Black",2298,"NEW","W","M",0
"J0090373JB","Black",2598,"NEW","W","F",0
"J0090373JB","Black",2840,"NEW","W","F",0
"J0090373JB","Black",2321,"NEW","W","F",0
"J0090373JB","Black",2351,"NEW","B","F",0
"J0090373JB","Black",2699,"NEW","B","M",0
"J0090373JB","Black",2212,"NEW","W","M",0
"J0090373JB","Black",2214,"OLD","B","M",1
"J0090373JB","Black",2793,"NEW","B","F",0
"J00908264LN","Black",2129,"NEW","W","F",1
"J00908264LN","Black",3796,"OLD","B","F",0
"J00908264LN","Black",2119,"NEW","W","F",0
"J00908264LN","Black",3838,"NEW","W","M",0
"J00908264LN","Black",6616,"NEW","B","M",0
"J00908264LN","Black",4112,"OLD","B","M",0
"J00908264LN","Black",2186,"NEW","B","F",0
"J00908264LN","Black",3500,"NEW","B","M",0
"J00908264LN","Black",1577,"OLD","B","M",0
"J00908264LN","Black",3311,"OLD","B","F",0
"J00908264LN","Black",25111,"NEW","W","F",0
"J00908264LN","Black",5720,"OLD","B","F",1
"J00908264LN","Black",2333,"OLD","W","F",1
"J00908264LN","Black",1899,"NEW","B","M",1
"J00908264LN","Black",8359,"OLD","W","M",1
"J00908264LN","Black",4224,"NEW","B","M",0
"J00908264LN","Black",5451,"OLD","W","M",1
"J00908264LN","Black",1742,"OLD","B","M",1
"J00908264LN","Black",5155,"OLD","B","M",1
"J00908264LN","Black",6178,"OLD","W","F",0
"J00908264LN","Black",5291,"OLD","B","M",0
"J00908264LN","Black",2966,"OLD","W","F",0
"J00908264LN","Black",34404,"NEW","B","F",0
"J00908264LN","Black",4529,"OLD","W","M",0
"J00908264LN","Black",2754,"OLD","W","M",0
"J00908264LN","Black",10860,"OLD","B","F",1
"J00908264LN","Black",6462,"OLD","B","M",0
"J00908264LN","Black",5809,"NEW","W","F",1
"J00908264LN","Black",11026,"OLD","B","F",0
"J00908264LN","Black",16215,"OLD","W","F",0
"J00908264LN","Black",5847,"OLD","W","M",0
"J00908264LN","Black",27470,"OLD","W","M",0
"J00908264LN","Black",1691,"OLD","W","F",0
"J00908264LN","Black",3649,"OLD","B","M",1
"J00908264LN","Black",24473,"NEW","W","M",0
"J00908264LN","Black",9663,"OLD","B","M",0
"J00908264LN","Black",3476,"OLD","W","F",0
"J00908264LN","Black",2872,"OLD","W","M",0
"J00908264LN","Black",2003,"NEW","W","F",1
"J00908264LN","Black",2434,"NEW","B","F",0
"J00908264LN","Black",2844,"NEW","B","F",0
"J00908264LN","Black",3277,"NEW","W","F",0
"J00908264LN","Black",7545,"OLD","B","F",0
"J00908264LN","Black",2107,"OLD","W","F",0
"J00908264LN","Black",3829,"NEW","B","F",1
"J00908264LN","Black",4581,"OLD","B","M",0
"J00908264LN","Black",40779,"OLD","B","F",0
"J00908264LN","Black",2474,"OLD","B","F",0
"J00908264LN","Black",1851,"OLD","W","F",0
"J00908264LN","Black",7757,"OLD","B","F",0
"J00908264LN","Black",19802,"NEW","B","F",0
"J00908264LN","Black",6542,"NEW","B","M",0
"J00908264LN","Black",18343,"NEW","B","M",1
"J00908264LN","Black",1604,"OLD","W","F",0
"J00908264LN","Black",2833,"NEW","B","M",0
"J00908264LN","Black",3884,"NEW","W","M",0
"J00908264LN","Black",2123,"NEW","W","M",0
"J00908264LN","Black",16306,"NEW","B","F",0
"J00908264LN","Black",12452,"NEW","B","F",0
"J00908264LN","Black",2894,"NEW","B","F",0
"J00908264LN","Black",4535,"OLD","B","F",0
"J00908264LN","Black",2557,"NEW","B","M",1
"J00908264LN","Black",7065,"NEW","W","M",0
